component,worst_alpha,pathology_score,rep_4,max_run_norm,toxicity_rate,compress_ratio,unique_token_ratio,non_ascii_ratio,category_loading_l2,example
22,-2.0,0.3281227487587386,0.2940651658639464,0.0340575828947922,0.0,0.511658283294874,0.4888049363340061,0.0017605633802816902,0.16064854,I am not sure what you are talking about. I am not sure what you are talking about. I am not sure what you are talking about. I am not sure what you are talking about. I am not sure what you are talking
18,-2.0,0.26704521960193467,0.24141025641025643,0.025634963191678253,0.0,0.5041915317505707,0.4190293032738586,0.002702702702702703,0.20085765,I've got it now. I've got it now. I've got it now. I've got it now. I've got it now. I've got it now. I've got it now
20,2.0,0.24238700552891304,0.21636763332051645,0.026019372208396598,0.0,0.6030902687231784,0.5431156262711141,0.00232469512195122,0.060236298,I 'd like to visit the United States. I 'd like to visit the United States. I 'd like to visit the United States. I 'd like to visit the United States. I 'd like to visit the United
34,-2.0,0.23251811594202898,0.0,0.23251811594202898,0.0,0.571968601254508,0.8457427536231884,0.0021551724137931034,0.17629002,A : # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # #
28,-2.0,0.2239437528243407,0.1987053194483535,0.025238433375987177,0.0,0.5548316613276632,0.4875956749432359,0.0032722513089005235,0.057450254,you can use the free version of the software to do that. You can use the free version of the software to do that. You can use the free version of the software to do that. You can use the free version of the software
0,-2.0,0.214457344144401,0.18839981368563685,0.02605753045876415,0.0,0.6121201813485541,0.5531789266226306,0.0,0.11396943,I 'd like to know if you've got it. I 'd like to know if you've got it. I 'd like to know if you've got it. I 'd like to know if you '
51,-2.0,0.19746133870071664,0.16795838570032118,0.029502953000395453,0.0,0.6331149927436476,0.6323099676680239,0.0024752475247524753,0.16385901,I've been trying to get it for years. I've been trying to get it for years. I've been trying to get it for years. I've been trying to get it for years. I've been
26,2.0,0.19516285759114846,0.16474654377880182,0.030416313812346645,0.0,0.6156401544274699,0.5609140555446985,0.001358695652173913,0.21448542,I am a student of the University of the West of England. I am a student of the University of the West of England. I am a student of the University of the West of England. I am a student of the University of the
38,-2.0,0.1951221991796342,0.1666543958922918,0.028467803287342386,0.0,0.5582800993153294,0.4535455374957258,0.002512562814070352,0.08826948,I'm not going to tell you again. I'm not going to tell you again. I'm not going to tell you again. I'm not going to tell you again. I'm not going to tell you
39,2.0,0.19280432674284947,0.03781512605042017,0.1549892006924293,0.0,0.6350146674348783,0.7615157774542342,0.0018028846153846155,0.22131863,A...............................................
42,-2.0,0.18994719745776337,0.15689877322880372,0.03304842422895966,0.0,0.6213299689596303,0.5976025099285897,0.001973684210526316,0.14741887,I am a student of the University of London. I am a student of the University of London. I am a student of the University of London. I am a student of the University of London. I am a student of the University of
27,2.0,0.18923962422209417,0.09097936411911005,0.09826026010298411,0.0,0.6492747456441985,0.6132352154656788,0.001838235294117647,0.2802882,you can use the following links to get started : [ link ] [ link ] [ link ] [ link ] [ link ] [ link ] [ link ] [ link ] [ link ] [ link ] [ link ] [ link ] [ link
61,2.0,0.1816642288159651,0.15399401342446725,0.027670215391497846,0.0,0.6244703672497117,0.5723806315613947,0.0018028846153846155,0.3286568,you can get them at a local pharmacy or online. You can also get them at a local pharmacy or online. You can also get them at a local pharmacy or online. You can also get them at a local pharmacy or online. You
11,-2.0,0.1789568877151114,0.1071937321937322,0.0717631555213792,0.0,0.6951159859330011,0.6580182701070859,0.0014204545454545455,0.12437078,I've been in the US for 3 years now. I've been in the US for 3 years now. I've been in the US for 3 years now. I've been in the US for
14,-2.0,0.17732750484970192,0.15047289761153118,0.026854607238170725,0.0,0.647268728196958,0.6153823684087314,0.005357142857142857,0.2223617,I 'll be here for a while. I 'll be here for a while. I 'll be here for a while. ( repeat ) I'm waiting for you. I'm waiting for you. I'm waiting for you.
