cat_a,cat_b,alpha,beta,prompt_id,cluster_id,cluster_name,cos
b1,b11,-2.0,-2.0,0,0,self-doubt / encouragement,0.2541624903678894
b1,b11,-2.0,-2.0,0,1,frustration / despair,0.14027322828769684
b1,b11,-2.0,-2.0,0,2,uncertainty / indecision,0.18803171813488007
b1,b11,-2.0,-2.0,0,3,romantic idealism,0.19714879989624023
b1,b11,-2.0,-2.0,0,4,academic ambition / competitive determination,0.0969182550907135
b1,b11,-2.0,-2.0,0,5,ironic amusement,0.17211806774139404
b1,b11,-2.0,-2.0,0,6,enthusiasm / curiosity,0.17145948112010956
b1,b11,-2.0,-2.0,1,0,self-doubt / encouragement,0.07133655250072479
b1,b11,-2.0,-2.0,1,1,frustration / despair,0.11366166174411774
b1,b11,-2.0,-2.0,1,2,uncertainty / indecision,0.1384688913822174
b1,b11,-2.0,-2.0,1,3,romantic idealism,0.0023605867754667997
b1,b11,-2.0,-2.0,1,4,academic ambition / competitive determination,0.03800182789564133
b1,b11,-2.0,-2.0,1,5,ironic amusement,0.05659253150224686
b1,b11,-2.0,-2.0,1,6,enthusiasm / curiosity,0.08321614563465118
b1,b11,-2.0,-2.0,2,0,self-doubt / encouragement,0.2560352087020874
b1,b11,-2.0,-2.0,2,1,frustration / despair,0.11325839906930923
b1,b11,-2.0,-2.0,2,2,uncertainty / indecision,0.1770266592502594
b1,b11,-2.0,-2.0,2,3,romantic idealism,0.19367282092571259
b1,b11,-2.0,-2.0,2,4,academic ambition / competitive determination,0.1087871864438057
b1,b11,-2.0,-2.0,2,5,ironic amusement,0.14362549781799316
b1,b11,-2.0,-2.0,2,6,enthusiasm / curiosity,0.250885546207428
b1,b11,-2.0,-2.0,3,0,self-doubt / encouragement,0.064234159886837
b1,b11,-2.0,-2.0,3,1,frustration / despair,0.1372937262058258
b1,b11,-2.0,-2.0,3,2,uncertainty / indecision,0.16352365911006927
b1,b11,-2.0,-2.0,3,3,romantic idealism,0.0481451079249382
b1,b11,-2.0,-2.0,3,4,academic ambition / competitive determination,0.06987033039331436
b1,b11,-2.0,-2.0,3,5,ironic amusement,0.14422214031219482
b1,b11,-2.0,-2.0,3,6,enthusiasm / curiosity,0.12672698497772217
b1,b11,-2.0,-2.0,4,0,self-doubt / encouragement,0.04579814150929451
b1,b11,-2.0,-2.0,4,1,frustration / despair,0.030413474887609482
b1,b11,-2.0,-2.0,4,2,uncertainty / indecision,0.14635887742042542
b1,b11,-2.0,-2.0,4,3,romantic idealism,0.023250095546245575
b1,b11,-2.0,-2.0,4,4,academic ambition / competitive determination,0.08106183260679245
b1,b11,-2.0,-2.0,4,5,ironic amusement,0.05071616172790527
b1,b11,-2.0,-2.0,4,6,enthusiasm / curiosity,0.10003705322742462
b1,b11,-2.0,-2.0,5,0,self-doubt / encouragement,0.17517676949501038
b1,b11,-2.0,-2.0,5,1,frustration / despair,0.1472577601671219
b1,b11,-2.0,-2.0,5,2,uncertainty / indecision,0.20199871063232422
b1,b11,-2.0,-2.0,5,3,romantic idealism,0.06894071400165558
b1,b11,-2.0,-2.0,5,4,academic ambition / competitive determination,0.11090020090341568
b1,b11,-2.0,-2.0,5,5,ironic amusement,0.12830574810504913
b1,b11,-2.0,-2.0,5,6,enthusiasm / curiosity,0.19319617748260498
b1,b11,-2.0,-2.0,6,0,self-doubt / encouragement,0.06455002725124359
b1,b11,-2.0,-2.0,6,1,frustration / despair,0.14256709814071655
b1,b11,-2.0,-2.0,6,2,uncertainty / indecision,0.1237078309059143
b1,b11,-2.0,-2.0,6,3,romantic idealism,0.0019866323564201593
b1,b11,-2.0,-2.0,6,4,academic ambition / competitive determination,0.09279212355613708
b1,b11,-2.0,-2.0,6,5,ironic amusement,0.042730726301670074
b1,b11,-2.0,-2.0,6,6,enthusiasm / curiosity,0.11476504057645798
b1,b11,-2.0,-2.0,7,0,self-doubt / encouragement,0.21225208044052124
b1,b11,-2.0,-2.0,7,1,frustration / despair,0.2985210120677948
b1,b11,-2.0,-2.0,7,2,uncertainty / indecision,0.2603974938392639
b1,b11,-2.0,-2.0,7,3,romantic idealism,0.1639910787343979
b1,b11,-2.0,-2.0,7,4,academic ambition / competitive determination,0.14137771725654602
b1,b11,-2.0,-2.0,7,5,ironic amusement,0.1641620546579361
b1,b11,-2.0,-2.0,7,6,enthusiasm / curiosity,0.18448913097381592
b1,b11,-2.0,0.0,0,0,self-doubt / encouragement,0.22355343401432037
b1,b11,-2.0,0.0,0,1,frustration / despair,0.12071087956428528
b1,b11,-2.0,0.0,0,2,uncertainty / indecision,0.18830259144306183
b1,b11,-2.0,0.0,0,3,romantic idealism,0.10849423706531525
b1,b11,-2.0,0.0,0,4,academic ambition / competitive determination,0.11352430284023285
b1,b11,-2.0,0.0,0,5,ironic amusement,0.1180473193526268
